Stock ID,Stock Name,Jurisdiction,FMP,Science Center,Regional Ecosystem,FSSI Stock?,ITIS Taxon Serial Number,Scientific Name,Common Name,Stock Area,Assessment ID,Assessment Year,Assessment Month,Last Data Year,Update Type,Review Result,B Year,Estimated B,B Unit,B Basis,Blimit,Blimit Basis,Bmsy,Bmsy Basis,B/Blimit,B/Bmsy,MSY,MSY Unit
10574,Northern anchovy - Southern Pacific Coast,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,161828,Engraulis mordax,Northern anchovy,Southern Pacific Coast,12276,2022,6,2021,,Full acceptance,2021,2090640,Metric Tons,Total Stock Biomass - Age 1+,,,,,,,,
10163,Pacific chub mackerel - Pacific Coast,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,172412,Scomber japonicus,Pacific chub mackerel,Pacific Coast,160,2005,12,2005,Benchmark,Full acceptance,2004,101147,Metric Tons,Biomass - Age 1+,18200,CPS SAFE Report,,,5.558000088,,,
10163,Pacific chub mackerel - Pacific Coast,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,172412,Scomber japonicus,Pacific chub mackerel,Pacific Coast,996,2006,5,2006,Full Update,Full acceptance,2006,112700,mt,Biomass_Age_1+,18200,Control_Rule,115000,Control_Rule,6.190000057,0.980000019,29000,
10163,Pacific chub mackerel - Pacific Coast,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,172412,Scomber japonicus,Pacific chub mackerel,Pacific Coast,997,2007,5,2007,Benchmark,Full acceptance,2007,359290,mt,Stock_Biomass_Age_1+,18200,Council_Rule,115000,Council_Rule,19.73999977,3.119999886,29000,mt
10163,Pacific chub mackerel - Pacific Coast,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,172412,Scomber japonicus,Pacific chub mackerel,Pacific Coast,1076,2008,6,2007,Full Update,Full acceptance,2008,264732,mt,Biomass_Age_1+,,,,,,5.110000134,51772,
10163,Pacific chub mackerel - Pacific Coast,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,172412,Scomber japonicus,Pacific chub mackerel,Pacific Coast,1876,2009,6,2008,Benchmark,Full acceptance,2009,282049,mt,Biomass_Age_1+,18200,Council_Rule,,,15.49699974,,55408,mt
10163,Pacific chub mackerel - Pacific Coast,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,172412,Scomber japonicus,Pacific chub mackerel,Pacific Coast,4253,2011,6,2010,Full Update,Full acceptance,2011,211126,Metric Tons,Biomass - Age 1+,18200,Council_Rule,,,11.60000038,,,
10163,Pacific chub mackerel - Pacific Coast,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,172412,Scomber japonicus,Pacific chub mackerel,Pacific Coast,5682,2015,6,2014,Benchmark,Full acceptance,2015,120435,mt,Biomass - Age 1+ Individuals,18200,"CUTOFF
",,,6.617000103,,,
10163,Pacific chub mackerel - Pacific Coast,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,172412,Scomber japonicus,Pacific chub mackerel,Pacific Coast,7595,2017,6,2014,Partial Update,Full acceptance,2016,118968,mt,biomass age 1+ fish in 2016-17 fishing year,18200,CUTOFF,,,6.537000179,,,
10163,Pacific chub mackerel - Pacific Coast,PFMC,Coastal Pelagic Species,SWFSC,California Current,Y,172412,Scomber japonicus,Pacific chub mackerel,Pacific Coast,9304,2019,6,2018,,Full acceptance,2019,71099,Metric Tons,Mid-Year Biomass - Age 1+,18200,CUTOFF,,,3.907000065,,,
